,Unnamed: 0.1,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,P1S,P2S,SGA,SGA1,RE,RE1,Unf_err_cnt,Unf_err_cnt1,STB,LTB,STH,LTH,STB1,LTB1,STH1,LTH1,Net-cnt,Net-sc-rate,Net-cnt1,Net-sc-rate1,BTS,BTS1,SD,SD1,SW,SW1,p1_momentum,p2_momentum
0,1981,2948,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:00:00,1,1,1,0,0,0.0,0.0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0693177350919762,16.527,3,0.2318840579710146,C,NCTL,D,0.0666666666666666,0.0,0.5454545454545455,0.4545454545454545,0.0475900475291215,0.0,1.0,0.6324900133155792,0.0,0.0,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,1.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.8068218192279674,0.24537244068170727
1,1982,2949,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:00:35,1,1,2,0,0,0.0,0.0,15,0,1,1,1,2,0,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347639252260434,9.633,3,0.6521739130434783,BW,NCTL,ND,0.1333333333333333,0.0,0.6363636363636365,0.3636363636363636,0.0246641453963597,0.0,1.0,0.6324900133155792,0.0,0.0,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,1.0,0.0,0.9999999999999998,0.0,0.75,0.75,1.0421628433823078,0.47412199538188643
2,1983,2950,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:00:57,1,1,3,0,0,0.0,0.0,30,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0172565711884395,3.345,1,0.2318840579710146,BC,NCTL,D,0.2,0.0,0.7272727272727273,0.2727272727272727,0.0124538189503401,0.0,1.0,0.6311584553928096,0.0,0.0,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,1.0,0.0,0.9999999999999998,0.0,0.25,0.25,0.8861187261269537,0.31054404606117764
3,1984,2952,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:02:40,1,2,5,0,0,0.1666666666666666,0.0,0,0,2,1,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1013637164662662,16.4,5,0.6811594202898552,C,NCTL,D,0.0,0.0714285714285714,0.3636363636363636,0.6363636363636364,0.0,0.0544964933829866,0.8571428571428572,0.6311584553928096,0.0,0.0,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,0.0,1.0,0.9999999999999998,0.0,0.0,0.0,0.22843103247651458,0.8962753724040246
4,1985,2953,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:03:05,1,2,6,0,0,0.1666666666666666,0.0,0,15,2,1,2,4,2,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695549621114559,7.405,3,0.536231884057971,C,NCTL,ND,0.0,0.1428571428571428,0.2727272727272727,0.7272727272727273,0.0,0.0385071883381569,0.8571428571428572,0.6311584553928096,0.0,0.0,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,0.0,1.0,0.9999999999999998,0.0,0.0,0.0,0.22008771152935028,0.8951326221971484
5,1986,2954,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:03:29,1,2,7,0,0,0.1666666666666666,0.0,0,30,2,1,1,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0522509455191205,7.207,2,0.6811594202898552,C,CTL,ND,0.0666666666666666,0.1428571428571428,0.3636363636363636,0.6363636363636364,0.0729093739505336,0.0682716490708368,0.8571428571428572,0.62982689747004,0.0,0.0,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,0.0,1.0,0.0,0.9999999999999998,0.0,0.0,0.09053079038332212,0.7531811357983392
6,1987,2955,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:04:02,1,2,8,0,0,0.1666666666666666,0.0,15,30,2,2,1,6,2,0,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1557835947349157,25.458,8,0.3333333333333335,C,NCTL,D,0.1333333333333333,0.1428571428571428,0.4545454545454546,0.5454545454545454,0.2557867164801305,0.1264972209380698,0.8571428571428572,0.62982689747004,0.0,0.0,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,0.0,1.0,0.9999999999999998,0.0,0.0,0.0,0.24549544632358203,0.8885955545826946
7,1988,2957,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:05:20,1,2,10,0,0,0.1666666666666666,0.0,40,30,2,1,1,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0995540132033781,9.732,2,0.6086956521739131,BW,NCTL,ND,0.2,0.1428571428571428,0.5454545454545455,0.4545454545454545,0.1994077361414066,0.0655344486870299,0.8571428571428572,0.6284953395472703,1.0,0.125,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,0.0,1.0,0.9999999999999998,0.0,0.75,0.75,0.6350738928810701,1.107949523146335
8,1989,2958,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:05:54,1,3,11,0,0,0.3333333333333333,0.0,0,0,1,2,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982729872981876,11.62,4,0.3043478260869565,BC,NCTL,D,0.0,0.0714285714285714,0.3636363636363636,0.6363636363636364,0.0,0.0529835012094897,1.0,0.6284953395472703,1.0,0.125,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,1.0,0.0,0.9999999999999998,0.0,0.25,0.25,1.1250647852922175,0.3344233480324842
9,1990,2959,2023-wimbledon-1313,Andrey Rublev,David Goffin,00:06:28,1,3,12,0,0,0.3333333333333333,0.0,0,15,1,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225026772763627,4.448,1,0.7101449275362319,C,NCTL,ND,0.0666666666666666,0.0714285714285714,0.4545454545454546,0.5454545454545454,0.0417640425552573,0.0206540644138168,1.0,0.6284953395472703,1.0,0.125,0.0,0.0,0.0,0.3859649122807017,0.2,0.3592814371257485,0.0,0.0,0.3593539703903096,0.9775280898876404,1.0,0.0,0.9999999999999998,0.0,0.0,0.0,1.0705716230054652,0.2648194626443107
