Unnamed: 0.1,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,P1S,P2S,SGA,SGA1,RE,RE1,Unf_err_cnt,Unf_err_cnt1,STB,LTB,STH,LTH,STB1,LTB1,STH1,LTH1,Net-cnt,Net-sc-rate,Net-cnt1,Net-sc-rate1,BTS,BTS1,SD,SD1,SW,SW1
2677,3788,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:00:00,1,1,1,0,0,0.0,0.0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1976711084601933,26.569,6,0.5942028985507246,BC,NCTL,ND,0.06666666666666667,0.0,0.5454545454545455,0.4545454545454545,0.12116694799799659,0.0,1.0,0.49400798934753654,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.6000000000000001,0.4910179640718563,0.0,0.0,0.49663526244952894,0.983739837398374,0.0,1.0,0.9999999999999998,0.0,0.25,0.25
2678,3789,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:00:47,1,1,2,0,0,0.0,0.0,15,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0591576407434016,6.21,2,0.42028985507246386,B,NCTL,D,0.13333333333333333,0.0,0.6363636363636365,0.3636363636363636,0.041004241855799706,0.0,1.0,0.4926764314247669,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.6000000000000001,0.4910179640718563,0.0,0.0,0.49663526244952894,0.983739837398374,0.0,1.0,0.9999999999999998,0.0,0.0,0.0
2679,3791,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:01:50,1,1,4,0,0,0.0,0.0,30,15,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0537488646992639,6.962,2,0.8115942028985508,BW,NCTL,ND,0.2,0.0,0.7272727272727273,0.2727272727272727,0.03744645586661715,0.0,1.0,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.6000000000000001,0.4910179640718563,0.0,0.0,0.49663526244952894,0.983739837398374,0.0,1.0,0.9999999999999998,0.0,0.75,0.75
2680,3792,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:02:20,1,1,5,0,0,0.0,0.0,40,15,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.1342433813661564,19.955,3,0.7971014492753623,BW,CTL,ND,0.2,0.07142857142857142,0.6363636363636365,0.3636363636363636,0.24392847213770644,0.12172916492889313,1.0,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.6000000000000001,0.4910179640718563,0.0,0.0,0.4979811574697174,0.9851351351351351,0.0,1.0,0.0,0.9999999999999998,0.75,0.75
2681,3793,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:03:11,1,1,6,0,0,0.0,0.0,40,30,2,2,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.1070029416150415,17.952,5,0.4782608695652175,B,NCTL,D,0.2,0.14285714285714285,0.5454545454545455,0.4545454545454545,0.14192388212070187,0.12719923141447018,0.8571428571428572,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.6000000000000001,0.4910179640718563,0.0,0.0,0.4979811574697174,0.9851351351351351,0.0,1.0,0.9999999999999998,0.0,0.0,0.0
2682,3794,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:03:59,1,1,7,0,0,0.0,0.0,40,40,2,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432430966937331,5.604,1,0.8840579710144929,C,CTL,D,0.2,0.21428571428571427,0.4545454545454546,0.5454545454545454,0.04823128170505302,0.06344571735394074,0.8571428571428572,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.6000000000000001,0.4910179640718563,0.0,0.0,0.4979811574697174,0.9851351351351351,0.0,1.0,0.0,0.9999999999999998,0.0,0.0
2683,3795,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:04:24,1,1,8,0,0,0.0,0.0,40,AD,2,1,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.195983407664466,23.585,5,0.8405797101449275,W,NCTL,D,0.2,0.2857142857142857,0.36363636363636365,0.6363636363636364,0.1590305376600973,0.2789128959136496,0.8571428571428572,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.8,0.4940119760479042,0.0,0.0,0.4993270524899058,0.986522911051213,0.0,1.0,0.9999999999999998,0.0,1.0,1.0
2684,3796,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:05:39,1,2,9,0,0,0.0,0.16666666666666666,0,0,1,2,2,3,6,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686738331819599,10.126,4,0.4057971014492754,B,NCTL,D,0.0,0.07142857142857142,0.36363636363636365,0.6363636363636364,0.0,0.0380507228207197,1.0,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.8,0.4940119760479042,0.0,0.0,0.4993270524899058,0.986522911051213,1.0,0.0,0.9999999999999998,0.0,0.0,0.0
2685,3797,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:06:21,1,2,10,0,0,0.0,0.16666666666666666,0,15,1,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454798085916848,6.959,1,0.6811594202898552,BW,CTL,ND,0.06666666666666667,0.07142857142857142,0.4545454545454546,0.5454545454545454,0.08255355313893027,0.04082618204080639,1.0,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.8,0.4940119760479042,0.0,0.0,0.4993270524899058,0.986522911051213,1.0,0.0,0.0,0.9999999999999998,0.75,0.75
2686,3798,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,00:06:44,1,2,11,0,0,0.0,0.16666666666666666,15,15,1,1,2,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0359703940679689,7.728,2,0.8115942028985508,BC,NCTL,ND,0.06666666666666667,0.14285714285714285,0.36363636363636365,0.6363636363636364,0.02549038504359101,0.06829751098472313,0.8571428571428572,0.4913448735019973,0.0,0.0,0.0,0.0,0.0,0.5438596491228069,0.8,0.4940119760479042,0.0,0.0,0.4993270524899058,0.986522911051213,1.0,0.0,0.9999999999999998,0.0,0.25,0.25
