,Unnamed: 0.1,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,P1S,P2S,SGA,SGA1,RE,RE1,Unf_err_cnt,Unf_err_cnt1,STB,LTB,STH,LTH,STB1,LTB1,STH1,LTH1,Net-cnt,Net-sc-rate,Net-cnt1,Net-sc-rate1,BTS,BTS1,SD,SD1,SW,SW1,p1_momentum,p2_momentum
0,0,0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0.0,0.0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0326356599655681,7.84,2,0.3333333333333335,BC,NCTL,ND,0.0,0.0714285714285714,0.3636363636363636,0.6363636363636364,0.0,0.0187138040934839,0.8571428571428572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,0.0,0.25,0.25,0.8704912895522893,0.26020757498135755
1,1,1,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0.0,0.0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275725575783865,7.094,1,0.6666666666666667,B,CTL,ND,0.0666666666666666,0.0714285714285714,0.4545454545454546,0.5454545454545454,0.0509210495582446,0.0251825870592776,0.8571428571428572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.6704792884958412,0.04768764014290197
2,2,2,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0.0,0.0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.085503395735336,19.808,4,0.6956521739130435,B,NCTL,D,0.0666666666666666,0.1428571428571428,0.3636363636363636,0.6363636363636364,0.0578270078201052,0.1549384481659805,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.8117406004243235,0.208494378056411
3,3,3,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0.0,0.0,15,30,1,1,1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3383738426710406,75.631,13,0.8405797101449275,BW,CTL,D,0.1333333333333333,0.1428571428571428,0.4545454545454546,0.5454545454545454,0.4797910417254605,0.2372767211856633,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013458950201884,0.0,1.0,0.0,0.0,0.9999999999999998,0.75,0.75,0.9341669750854876,0.2925625718985929
4,4,5,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0.0,0.0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278301183423931,4.249,2,0.3623188405797102,BW,NCTL,ND,0.1333333333333333,0.2142857142857142,0.3636363636363636,0.6363636363636364,0.0242986925825942,0.0480985258262858,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013458950201884,0.0,1.0,0.0,0.9999999999999998,0.0,0.75,0.75,1.0208349958332554,0.4112201770298804
5,5,6,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0.0,0.0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381732163917092,17.821,1,0.536231884057971,W,CTL,D,0.2,0.2142857142857142,0.4545454545454546,0.5454545454545454,0.0697785154378103,0.0345083920132063,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013458950201884,0.0,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9634553202054202,0.34004899100278146
6,6,7,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0.0,0.0,AD,40,1,2,2,4,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1106020143962911,18.067,6,0.4782608695652175,B,NCTL,ND,0.2,0.2857142857142857,0.3636363636363636,0.6363636363636364,0.0966475740094778,0.1695036383994814,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026917900403768,0.75,1.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.8090878870794955,0.2188686696830171
7,7,8,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0.0,0.0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2257316759072238,24.594,7,0.8115942028985508,BC,CTL,D,0.2666666666666666,0.2857142857142857,0.4545454545454546,0.5454545454545454,0.3494860845190643,0.1728354742441176,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,1.0,0.0026917900403768,0.75,1.0,0.0,0.0,0.9999999999999998,0.25,0.25,0.7954314121496998,0.15362852793635687
8,8,9,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0.0,0.0,AD,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1358971925876723,27.427,5,0.5507246376811594,B,NCTL,ND,0.3333333333333333,0.2857142857142857,0.5454545454545455,0.4545454545454545,0.2465740254701208,0.0976559454146246,0.7142857142857143,1.0,0.0,0.0,0.5,0.0416666666666666,0.0,0.0,0.0,0.0,0.0204081632653061,1.0,0.0026917900403768,0.75,1.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.8866283349953383,0.2059756619812253
9,9,10,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,0.1666666666666666,0.0,0,0,2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311784082744784,4.915,1,0.5797101449275364,W,CTL,D,0.0,0.0714285714285714,0.3636363636363636,0.6363636363636364,0.0,0.0179034581985869,1.0,1.0,0.0,0.0,0.5,0.0416666666666666,0.0,0.0,0.0,0.0,0.0204081632653061,1.0,0.0026917900403768,0.75,0.0,1.0,0.0,0.9999999999999998,1.0,1.0,0.4303141519458665,0.984180763765737
